chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,id,in_dreamteam,news,news_added,now_cost,photo,points_per_game,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,expected_goals_per_90,saves_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,goals_conceded_per_90,now_cost_rank,now_cost_rank_type,form_rank,form_rank_type,points_per_game_rank,points_per_game_rank_type,selected_rank,selected_rank_type,starts_per_90,clean_sheets_per_90
100.0,100.0,438098,0,0,-4,4,1,3,0.8,0.8,0,Fábio,0.3,25,False,,2022-08-04T15:00:05.309562Z,56,438098.jpg,1.9,Ferreira Vieira,0.1,False,,a,1,3,38,20700,15,31858,19,0.1,6.8,Fábio Vieira,465,1,2,2,5,0,0,0,0,0,0,2,128,110.6,168.5,121.0,39.6,3,0.86,1.38,2.24,4.99,368,152,196,123,242,131,316,142,,,,,,,0.17,0.0,0.27,0.44,0.97,0.97,100,53,357,168,346,143,405,143,0.58,0.39
0.0,0.0,462424,0,0,4,-4,2,2,0.0,0.0,0,William,0.0,26,False,Back injury - Unknown return date,2023-03-17T00:00:06.900817Z,49,462424.jpg,4.3,Saliba,15.9,False,,i,1,3,117,5425627,40,4580561,7078,0.0,23.9,Saliba,2415,2,1,12,25,1,0,0,4,0,0,14,571,529.0,100.8,114.0,74.5,27,0.91,0.32,1.23,26.86,99,32,281,87,249,66,186,50,,,,,,,0.03,0.0,0.01,0.04,1.0,0.93,252,34,716,252,31,2,19,6,1.01,0.45
0.0,0.0,479683,0,0,-4,4,0,3,0.0,0.0,0,Marcus,0.0,27,False,Season-long loan to Norwich City,2023-01-31T13:56:28.318276Z,46,479683.jpg,1.0,Oliveira Alencar,0.1,False,,u,1,3,1,7000,0,14802,3,0.0,0.2,Marquinhos,1,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.2,0.0,0.0,0,0.00,0.00,0.00,0.00,734,311,503,245,721,307,735,311,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,339,202,689,280,507,228,483,181,0.0,0.0
100.0,100.0,205651,0,0,1,-1,1,4,4.2,4.2,2,Gabriel,3.7,28,False,,2022-12-04T08:30:06.137006Z,81,205651.jpg,4.7,Fernando de Jesus,27.7,False,,a,1,3,112,3637659,5809,8296707,7767,0.5,13.8,Jesus,1884,10,6,8,22,0,0,0,5,0,0,14,354,588.0,393.7,1202.0,218.3,22,13.71,2.47,16.18,22.13,71,6,80,6,8,5,19,5,,,,,2.0,,0.65,0.0,0.12,0.77,1.06,1.05,14,9,60,13,20,7,11,3,1.05,0.38
100.0,100.0,116216,0,0,1,-1,3,3,2.2,2.2,2,Leandro,1.7,111,False,,2023-03-04T18:30:07.114103Z,66,116216.jpg,4.2,Trossard,6.9,False,,a,1,3,143,4942711,3041,4558402,2721,0.3,21.7,Trossard,2089,8,11,7,37,0,0,0,1,0,0,8,457,618.0,669.9,850.0,213.8,24,6.13,5.52,11.65,30.02,64,26,29,23,21,11,20,14,2.0,,,,,,0.26,0.0,0.24,0.5,1.29,1.59,50,26,200,98,45,22,57,17,1.03,0.3
100.0,100.0,85955,0,0,-3,3,1,3,2.3,2.3,1,Jorge Luiz,1.8,130,False,,2023-03-02T00:00:07.754347Z,57,85955.jpg,2.5,Frello Filho,1.9,False,,a,1,3,74,447158,193,602164,210,0.3,13.0,Jorginho,1947,2,2,8,22,0,0,0,4,0,0,5,348,370.2,239.8,91.0,70.2,22,1.80,0.83,2.63,23.39,178,75,140,98,278,144,207,105,,,,,,,0.08,0.0,0.04,0.12,1.08,1.02,80,42,193,92,237,92,134,47,1.02,0.37
25.0,25.0,206325,0,0,1,-1,2,2,0.5,0.5,0,Oleksandr,1.3,313,False,Calf injury - 25% chance of playing,2023-05-12T07:30:08.369212Z,51,206325.jpg,3.7,Zinchenko,10.2,False,,d,1,3,99,3068199,96,3980400,21644,0.3,19.4,Zinchenko,2122,1,2,10,28,0,0,0,3,0,0,8,500,405.0,387.7,190.0,98.3,26,1.32,2.39,3.71,26.67,149,54,82,11,182,29,125,23,,,,,,,0.06,0.0,0.1,0.16,1.13,1.19,177,19,240,79,76,17,44,16,1.1,0.42
,,232241,0,0,-1,1,0,3,0.5,0.5,0,Matthew,0.0,607,False,,,44,232241.jpg,0.0,Smith,0.1,False,,a,1,3,0,14286,22,12537,10,0.0,0.0,Smith,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,646,252,640,255,622,246,650,254,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,506,278,577,208,654,258,467,171,0.0,0.0
,,499175,0,0,0,0,0,3,0.5,0.5,0,Ethan,0.0,630,False,,,45,499175.jpg,1.0,Nwaneri,0.0,False,,a,1,3,1,1592,12,1322,9,0.0,0.2,Nwaneri,1,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,707,289,703,291,691,285,709,290,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,430,241,655,254,501,223,675,269,0.0,0.0
,,514315,0,0,0,0,0,2,0.5,0.5,0,Lino,0.0,631,False,,,40,514315.jpg,0.0,Sousa,0.1,False,,a,1,3,0,8391,19,7319,18,0.0,0.0,Sousa,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,615,229,600,227,571,222,618,228,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,698,219,493,189,625,230,473,178,0.0,0.0
